arxiv_id,url,month,field,tag,bucket,second_reader,quote,tools_named,vendors,confidence
2301.04262,https://arxiv.org/abs/2301.04262,2023-01,math.AG,writing_polish,writing,pair_supported,We would like to acknowledge the assistance of ChatGPT in polishing the wording.,ChatGPT,openai,high
2302.12769,https://arxiv.org/abs/2302.12769,2023-02,math.DS,writing_polish,writing,pair_supported,"This manuscript has undergone a comprehensive revision utilizing artificial intelligence-powered tools, such as Grammarly and ChatGPT, to enhance its grammatical accuracy and clarity.",Grammarly; ChatGPT,openai,high
2302.08912,https://arxiv.org/abs/2302.08912,2023-02,math.OC,code_computation,code_computation,pair_supported,The script to process the unformatted data into processable vectors was coded by ChatGPT \cite{assistant_openai_2022}.,ChatGPT,openai,high
2302.06739,https://arxiv.org/abs/2302.06739,2023-02,math.ST,writing_polish,writing,pair_supported,"The author would like to acknowledge the helpful discussions and insights gained through interactions with the Claude AI assistant, which contributed to refining the presentation of this work.",Claude AI assistant,anthropic,high
2303.13083,https://arxiv.org/abs/2303.13083,2023-03,math.AG,writing_polish,writing,pair_supported,We would like to acknowledge the assistance of ChatGPT in polishing the wording.,ChatGPT,openai,high
2303.00263,https://arxiv.org/abs/2303.00263,2023-03,math.KT,figures_media,,pair_supported,image generated by OpenAI DALL·E 2,OpenAI DALL·E 2,openai,high
2305.06493,https://arxiv.org/abs/2305.06493,2023-05,math.AG,writing_polish,writing,pair_supported,We would like to acknowledge the assistance of ChatGPT in polishing the wording.,ChatGPT,openai,high
2305.12337,https://arxiv.org/abs/2305.12337,2023-05,math.AG,writing_polish,writing,pair_supported,We would like to acknowledge the assistance of ChatGPT in polishing the wording.,ChatGPT,openai,high
2305.11076,https://arxiv.org/abs/2305.11076,2023-05,math.NA,writing_polish,writing,pair_supported,"After the paper was accepted, I used ChatGPT to revise my abstract to make it clearer and more concise.",ChatGPT,openai,high
2306.00330,https://arxiv.org/abs/2306.00330,2023-06,math.AG,writing_polish,writing,pair_supported,We would like to acknowledge the assistance of ChatGPT in polishing the wording.,ChatGPT,openai,high
