arxiv_id,url,month,field,tool,vendor,quote
2301.04262,https://arxiv.org/abs/2301.04262,2023-01,math.AG,ChatGPT,openai,We would like to acknowledge the assistance of ChatGPT in polishing the wording.
2302.12769,https://arxiv.org/abs/2302.12769,2023-02,math.DS,ChatGPT,openai,"This manuscript has undergone a comprehensive revision utilizing artificial intelligence-powered tools, such as Grammarly and ChatGPT, to enhance its grammatical accuracy and clarity."
2302.12769,https://arxiv.org/abs/2302.12769,2023-02,math.DS,Grammarly,,"This manuscript has undergone a comprehensive revision utilizing artificial intelligence-powered tools, such as Grammarly and ChatGPT, to enhance its grammatical accuracy and clarity."
2302.09643,https://arxiv.org/abs/2302.09643,2023-02,math.HO,ChatGPT,openai,"Inspired by ChatGPT's abysmal failure to answer the question, I have recently come back to this problem and now have a more satisfactory answer, thanks in no small part to what I learned form a page of Wolfram's Math World, which I located by a Google search."
2302.09643,https://arxiv.org/abs/2302.09643,2023-02,math.HO,Wolfram's birthday problem calculator,,When you put 100 in the Wolfram's birthday problem calculator \cite{WolfA} you get the answers for birthdays in senate.
2302.08912,https://arxiv.org/abs/2302.08912,2023-02,math.OC,ChatGPT,openai,The script to process the unformatted data into processable vectors was coded by ChatGPT \cite{assistant_openai_2022}.
2302.06739,https://arxiv.org/abs/2302.06739,2023-02,math.ST,Claude AI assistant,anthropic,"The author would like to acknowledge the helpful discussions and insights gained through interactions with the Claude AI assistant, which contributed to refining the presentation of this work."
2303.13083,https://arxiv.org/abs/2303.13083,2023-03,math.AG,ChatGPT,openai,We would like to acknowledge the assistance of ChatGPT in polishing the wording.
2303.10166,https://arxiv.org/abs/2303.10166,2023-03,math.HO,GeoGebra,,"For exploration, discovery and proofs, we use here GeoGebra and Maple."
2303.10166,https://arxiv.org/abs/2303.10166,2023-03,math.HO,GeoGebra-Discovery,,"First, note that we used the current version of GeoGebra, and the companion package called GeoGebra-Discovery, developed by Z. Kov\'acs."
2303.10166,https://arxiv.org/abs/2303.10166,2023-03,math.HO,Maple,,"For exploration, discovery and proofs, we use here GeoGebra and Maple."
2303.17163,https://arxiv.org/abs/2303.17163,2023-03,math.HO,ChatGPT,openai,"We used the version from March 14, 2023, for any responses generated by ChatGPT in this study."
2303.17163,https://arxiv.org/abs/2303.17163,2023-03,math.HO,SageMath,,"Using the SageMath commands \verb*|A=matrix(RDF,[[4,11,14],[-1,1,17],[0,12,5]])| and \verb*|A.SVD()|, we obtain the following output"
2303.00263,https://arxiv.org/abs/2303.00263,2023-03,math.KT,OpenAI DALL·E 2,openai,image generated by OpenAI DALL·E 2
2304.06316,https://arxiv.org/abs/2304.06316,2023-04,math.CO,Mathematica,,"Additionally, we can confirm that the modified Bessel function of the first kind, $I_{\frac k2}(x)$, is increasing for $x>0$ and odd $k\leq12$ using Mathematica."
2304.09304,https://arxiv.org/abs/2304.09304,2023-04,math.GT,A3C,,"For RL algorithms we tried TRPO~\cite{Schulman:2015TRPO} and A3C~\cite{Mnih:2016A3C}, which have been applied successfully by the authors in the past to problems in knot theory~\cite{Gukov:2020qaj} and a number theory problem arising in string theory~\cite{Halverson:2019tkf}."
2304.09304,https://arxiv.org/abs/2304.09304,2023-04,math.GT,AlphaZero Monte-Carlo tree search (MCTS) algorithm,,We also implemented an adaptation of the AlphaZero Monte-Carlo tree search (MCTS) algorithm~\cite{Silver:2018aaa} to work with single-player games.
2304.09304,https://arxiv.org/abs/2304.09304,2023-04,math.GT,Bayesian optimization,,We apply Bayesian optimization and reinforcement learning to a problem in topology: the question of when a knot bounds a ribbon disk.
2304.09304,https://arxiv.org/abs/2304.09304,2023-04,math.GT,Bayesian-optimized random walker,,"From the remaining 853 pairs, our Bayesian-optimized random walker found 843 of them to consist of ribbon knots."
2304.09304,https://arxiv.org/abs/2304.09304,2023-04,math.GT,TRPO,,"For RL algorithms we tried TRPO~\cite{Schulman:2015TRPO} and A3C~\cite{Mnih:2016A3C}, which have been applied successfully by the authors in the past to problems in knot theory~\cite{Gukov:2020qaj} and a number theory problem arising in string theory~\cite{Halverson:2019tkf}."
2304.09304,https://arxiv.org/abs/2304.09304,2023-04,math.GT,reinforcement learning,,We apply Bayesian optimization and reinforcement learning to a problem in topology: the question of when a knot bounds a ribbon disk.
2304.12602,https://arxiv.org/abs/2304.12602,2023-04,math.RT,graph neural network,,"We used a neural network architecture known as a graph neural network, and trained the neural network to predict a probability distribution on the coefficients of $q$, $q^2$, $q^3$ and $q^4$."
2304.12602,https://arxiv.org/abs/2304.12602,2023-04,math.RT,vanilla neural network,,"This turns out to be the case, and the difference is dramatic: a vanilla neural network with two hidden layers of dimensions 500 and 100 learns to predict right descent sets for $n = 35$ with high accuracy after a few seconds."
2305.06493,https://arxiv.org/abs/2305.06493,2023-05,math.AG,ChatGPT,openai,We would like to acknowledge the assistance of ChatGPT in polishing the wording.
2305.12337,https://arxiv.org/abs/2305.12337,2023-05,math.AG,ChatGPT,openai,We would like to acknowledge the assistance of ChatGPT in polishing the wording.
2305.11076,https://arxiv.org/abs/2305.11076,2023-05,math.NA,ChatGPT,openai,"After the paper was accepted, I used ChatGPT to revise my abstract to make it clearer and more concise."
2306.00330,https://arxiv.org/abs/2306.00330,2023-06,math.AG,ChatGPT,openai,We would like to acknowledge the assistance of ChatGPT in polishing the wording.
2306.02411,https://arxiv.org/abs/2306.02411,2023-06,math.AT,ChatGPT,openai,"\ro{ChatGPT: Topology is a branch of mathematics concerned with the properties of space that are preserved under continuous transformations, such as stretching or bending."
2306.07956,https://arxiv.org/abs/2306.07956,2023-06,math.CO,AMCS algorithm,,"Using the AMCS algorithm, a counterexample to Conjecture \ref{conj_1} is found after $12$ iterations within $46$ seconds."
2306.07956,https://arxiv.org/abs/2306.07956,2023-06,math.CO,ChatGPT,openai,"From our attempts, ChatGPT is not able to give counterexamples to any of the conjectures."
2306.07956,https://arxiv.org/abs/2306.07956,2023-06,math.CO,GPT-3.5,openai,"When queried for a counterexample, GPT-4 tends to be more reliable than GPT-3.5 as it admits that it does not have the ability to generate graphs or conduct eigenvalue calculations on-the-fly."
2306.07956,https://arxiv.org/abs/2306.07956,2023-06,math.CO,GPT-4,openai,"When queried for a counterexample, GPT-4 tends to be more reliable than GPT-3.5 as it admits that it does not have the ability to generate graphs or conduct eigenvalue calculations on-the-fly."
2306.12917,https://arxiv.org/abs/2306.12917,2023-06,math.CO,Conjecturing.jl,,"In this paper, we describe a novel automated conjecturing method implemented by the Python program TxGraffiti~\cite{TxGraffiti, TNP}, and the Julia programming package Conjecturing.jl~\cite{Conjecturing.jl}."
2306.12917,https://arxiv.org/abs/2306.12917,2023-06,math.CO,TxGraffiti,other,"In this paper, we describe a novel automated conjecturing method implemented by the Python program TxGraffiti~\cite{TxGraffiti, TNP}, and the Julia programming package Conjecturing.jl~\cite{Conjecturing.jl}."
2306.06287,https://arxiv.org/abs/2306.06287,2023-06,math.OC,WenXin YiGe,,"The initial densities are the ancient Chinese calligraphy in seal script for the 12 Chinese zodiac animals, which are downloaded from Richard Sears' website \url{https://hanziyuan.net/}, while the terminal densities are their associated (gray-scale) images, which are generated by Baidu's text-to-image AI tool WenXin YiGe \url{https://yige.baidu.com/}."
2306.16617,https://arxiv.org/abs/2306.16617,2023-06,math.OC,GPT 4,openai,\section{Final attempt by GPT 4}
2306.16617,https://arxiv.org/abs/2306.16617,2023-06,math.OC,chatGPT,openai,\section{Generalizing Max-Min Optimization on Riemannian Manifolds - Monotone Games in Unconstrained Riemannian Manifolds and Constrained Euclidean Spaces[Generated by chatGPT]}
2306.02004,https://arxiv.org/abs/2306.02004,2023-06,math.QA,GPT,openai,GPT dixit:
2306.04734,https://arxiv.org/abs/2306.04734,2023-06,math.RT,LightGBM,,"As the main machine-learning methods for this paper, we utilize Nearest Neighbors, Convolutional Neural Networks and Gradient Boosting Decision Trees (specifically, LightGBM \cite{LGBM}) as they perform better than other standard machine-learning algorithms."
2306.04734,https://arxiv.org/abs/2306.04734,2023-06,math.RT,Mathematica,,"We implement the algorithms using \mth \cite{wolfram}, \tf \cite{TF} and \lgbm \cite{LGBM}."
